icd10cm_code,hcc,source_version
C50522,23,cmshcc_v28_py2026
C50529,23,cmshcc_v28_py2026
C50611,23,cmshcc_v28_py2026
C50612,23,cmshcc_v28_py2026
C50619,23,cmshcc_v28_py2026
C50621,23,cmshcc_v28_py2026
C50622,23,cmshcc_v28_py2026
C50629,23,cmshcc_v28_py2026
C50811,23,cmshcc_v28_py2026
C50812,23,cmshcc_v28_py2026
C50819,23,cmshcc_v28_py2026
C50821,23,cmshcc_v28_py2026
C50822,23,cmshcc_v28_py2026
C50829,23,cmshcc_v28_py2026
C50911,23,cmshcc_v28_py2026
C50912,23,cmshcc_v28_py2026
C50919,23,cmshcc_v28_py2026
C50921,23,cmshcc_v28_py2026
C50922,23,cmshcc_v28_py2026
C50929,23,cmshcc_v28_py2026
C50A0,23,cmshcc_v28_py2026
C50A1,23,cmshcc_v28_py2026
C50A2,23,cmshcc_v28_py2026
C510,22,cmshcc_v28_py2026
C511,22,cmshcc_v28_py2026
C512,22,cmshcc_v28_py2026
C518,22,cmshcc_v28_py2026
C519,22,cmshcc_v28_py2026
C52,22,cmshcc_v28_py2026
C530,22,cmshcc_v28_py2026
C531,22,cmshcc_v28_py2026
C538,22,cmshcc_v28_py2026
C539,22,cmshcc_v28_py2026
C540,23,cmshcc_v28_py2026
C541,23,cmshcc_v28_py2026
C542,23,cmshcc_v28_py2026
C543,23,cmshcc_v28_py2026
C548,23,cmshcc_v28_py2026
C549,23,cmshcc_v28_py2026
C55,23,cmshcc_v28_py2026
C561,22,cmshcc_v28_py2026
C562,22,cmshcc_v28_py2026
C563,22,cmshcc_v28_py2026
C569,22,cmshcc_v28_py2026
C5700,22,cmshcc_v28_py2026
C5701,22,cmshcc_v28_py2026
C5702,22,cmshcc_v28_py2026
C5710,22,cmshcc_v28_py2026
C5711,22,cmshcc_v28_py2026
C5712,22,cmshcc_v28_py2026
C5720,22,cmshcc_v28_py2026
C5721,22,cmshcc_v28_py2026
C5722,22,cmshcc_v28_py2026
C573,22,cmshcc_v28_py2026
C574,22,cmshcc_v28_py2026
C577,22,cmshcc_v28_py2026
C578,22,cmshcc_v28_py2026
C579,22,cmshcc_v28_py2026
C58,22,cmshcc_v28_py2026
C600,23,cmshcc_v28_py2026
C601,23,cmshcc_v28_py2026
C602,23,cmshcc_v28_py2026
C608,23,cmshcc_v28_py2026
C609,23,cmshcc_v28_py2026
C61,23,cmshcc_v28_py2026
C6200,23,cmshcc_v28_py2026
C6201,23,cmshcc_v28_py2026
C6202,23,cmshcc_v28_py2026
C6210,23,cmshcc_v28_py2026
C6211,23,cmshcc_v28_py2026
C6212,23,cmshcc_v28_py2026
C6290,23,cmshcc_v28_py2026
C6291,23,cmshcc_v28_py2026
C6292,23,cmshcc_v28_py2026
C6300,23,cmshcc_v28_py2026
C6301,23,cmshcc_v28_py2026
C6302,23,cmshcc_v28_py2026
C6310,23,cmshcc_v28_py2026
C6311,23,cmshcc_v28_py2026
C6312,23,cmshcc_v28_py2026
